quote_id,author,quote
118,Sun Tzu,You have to believe in yourself.
119,Wayne Dyer,Our intention creates our reality.
120,Confucius,Silence is a true friend who never betrays.
121,Johann Wolfgang von Goethe,Character develops itself in the stream of life.
122,American proverb,From little acorns mighty oaks do grow.
123,Jon Kabat-Zinn,"You can't stop the waves, but you can learn to surf."
124,Gustave Flaubert,"Reality does not conform to the ideal, but confirms it."
125,William Shakespeare,"Speak low, if you speak love."
126,Johann Wolfgang von Goethe,A really great talent finds its happiness in execution.
127,John Lennon,Reality leaves a lot to the imagination.
128,Seneca,The greatest remedy for anger is delay.
129,Pearl Buck,Growth itself contains the germ of happiness.
130,Leonardo da Vinci,Nothing strengthens authority so much as silence.
131,Confucius,"Wherever you go, go with all your heart."
132,Albert Einstein,The only real valuable thing is intuition.
133,Ralph Emerson,Good luck is another name for tenacity of purpose.
134,Sylvia Voirol,Rainbows apologize for angry skies.
135,Theophrastus,Time is the most valuable thing a man can spend.
136,Tony Robbins,"Whatever happens, take responsibility."
137,Oscar Wilde,Experience is simply the name we give our mistakes.
138,Wayne Dyer,I think and that is all that I am.
139,Gloria Steinem,"If the shoe doesn't fit, must we change the foot?"
140,Marcus Aurelius,Each day provides its own gifts.
141,Publilius Syrus,"While we stop to think, we often miss our opportunity."
142,Bernard Shaw,Life isn't about finding yourself. Life is about creating yourself.
143,Richard Bach,"To bring anything into your life, imagine that it's already there."
144,German proverb,Begin to weave and God will give you the thread.
145,Confucius,"The more you know yourself, the more you forgive yourself."
146,Mary Bethune,"Without faith, nothing is possible. With it, nothing is impossible."
147,Albert Einstein,"Once we accept our limits, we go beyond them."
148,Brian Tracy,Whatever we expect with confidence becomes our own self-fulfilling prophecy.
149,Pablo Picasso,Everything you can imagine is real.
150,Usman Asif,Fear is a darkroom where negatives develop.
151,Napoleon Bonaparte,The truest wisdom is a resolute determination.
152,Victor Hugo,Life is the flower for which love is the honey.
153,Epictetus,Freedom is the right to live as we wish.
154,Robert Heller,"Never ignore a gut feeling, but never believe that it's enough."
155,Marcus Aurelius,"Loss is nothing else but change,and change is Natures delight."
156,Byron Pulsifer,Someone is special only if you tell them.
157,Thich Nhat Hanh,"There is no way to happiness, happiness is the way."
158,Lao Tzu,He who talks more is sooner exhausted.
159,Lao Tzu,He who is contented is rich.
160,Plutarch,What we achieve inwardly will change outer reality.
161,Ralph Waldo Emerson,Our strength grows out of our weaknesses.
162,Mahatma Gandhi,We must become the change we want to see.
163,Napoleon Hill,"Happiness is found in doing, not merely possessing."
164,Wit,We choose our destiny in the way we treat others.
165,Voltaire,No snowflake in an avalanche ever feels responsible.
166,Virgil,Fortune favours the brave.
167,Joseph Stalin,"I believe in one thing only, the power of human will."
168,Robert Frost,The best way out is always through.
169,Seneca,The mind unlearns with difficulty what it has long learned.
170,Abraham Lincoln,I destroy my enemies when I make them my friends.
171,Thomas Fuller,No garden is without its weeds.
172,Elbert Hubbard,There is no failure except in no longer trying.
173,Turkish proverb,Kind words will unlock an iron door.
174,Hugh Miller,Problems are only opportunities with thorns on them.
175,A. Powell Davies,Life is just a chance to grow a soul.
176,Johann Wolfgang von Goethe,Mountains cannot be surmounted except by winding paths.
177,Thich Nhat Hanh,May our hearts garden of awakening bloom with hundreds of flowers.
178,John Dryden,Fortune befriends the bold.
179,Friedrich von Schiller,Keep true to the dreams of thy youth.
180,Mike Ditka,You're never a loser until you quit trying.
181,Immanuel Kant,Science is organized knowledge. Wisdom is organized life.
182,Johann Wolfgang von Goethe,Knowing is not enough; we must apply!
183,Richard Bach,"Strong beliefs win strong men, and then make them stronger."
184,Albert Camus,Autumn is a second spring when every leaf is a flower.
185,Toni Morrison,"If you surrender to the wind, you can ride it."
186,Helen Keller,Keep yourself to the sunshine and you cannot see the shadow.
187,Paulo Coelho,Write your plans in pencil and give God the eraser.
188,Pablo Picasso,"Inspiration exists, but it has to find us working."
189,Jonathan Kozol,"Pick battles big enough to matter, small enough to win."
190,Janis Joplin,Don't compromise yourself. You are all you've got.
191,Sophocles,A short saying oft contains much wisdom.
192,Epictetus,Difficulties are things that show a person what they are.
193,Honore de Balzac,"When you doubt your power, you give power to your doubt."
194,Ovid,The cause is hidden. The effect is visible to all.
195,Francis Bacon,A prudent question is one half of wisdom.
196,Tony Robbins,"The path to success is to take massive, determined action."
197,Manuel Puig,I allow my intuition to lead my path.
198,William R. Inge,Nature takes away any faculty that is not used.
199,Epictetus,"If you wish to be a writer, write."
200,Wayne Dyer,"There is no way to prosperity, prosperity is the way."
201,Jim Rohn,Either you run the day or the day runs you.
202,Publilius Syrus,Better be ignorant of a matter than half know it.
203,Oprah Winfrey,Follow your instincts. That is where true wisdom manifests itself.
204,Benjamin Franklin,There never was a good knife made of bad steel.
205,Anatole France,"To accomplish great things, we must dream as well as act."
206,Saint Augustine,Patience is the companion of wisdom.
207,Buddha,The mind is everything. What you think you become.
208,Voltaire,"To enjoy life, we must touch much of it lightly."
209,Maya Lin,"To fly, we have to have resistance."
210,Blaise Pascal,The heart has its reasons which reason knows not of.
211,William Shakespeare,"Be great in act, as you have been in thought."
212,Napoleon Bonaparte,Imagination rules the world.
213,Blaise Pascal,Kind words do not cost much. Yet they accomplish much.
214,Michelangelo,There is no greater harm than that of time wasted.
215,Jonas Salk,Intuition will tell the thinking mind where to look next.
216,Napoleon Hill,Fears are nothing more than a state of mind.
217,Lao Tzu,The journey of a thousand miles begins with one step.
218,Peter Drucker,Efficiency is doing things right; effectiveness is doing the right things.
219,Luisa Sigea,Blaze with the fire that is never extinguished.
220,Dr. Seuss,Don't cry because it's over. Smile because it happened.
221,Jason Fried,No is easier to do. Yes is easier to say.
222,Confucius,To be wrong is nothing unless you continue to remember it.
223,Babe Ruth,Yesterdays home runs don't win today's games.
224,Carlyle,"Silence is deep as Eternity, Speech is shallow as Time."
225,Leo F. Buscaglia,Don't smother each other. No one can grow in the shade.
226,Lao Tzu,An ant on the move does more than a dozing ox
227,Indira Gandhi,You can't shake hands with a clenched fist.
228,Plato,A good decision is based on knowledge and not on numbers.
229,Confucius,The cautious seldom err.
230,Frederick Douglass,"If there is no struggle, there is no progress."
231,Willa Cather,"Where there is great love, there are always miracles."
232,John Lennon,"Time you enjoy wasting, was not wasted."
233,Richard Bach,Every problem has a gift for you in its hands.
234,Jean de la Fontaine,Sadness flies away on the wings of time.
235,Publilius Syrus,"I have often regretted my speech, never my silence."
236,Thomas Jefferson,Never put off till tomorrow what you can do today.
237,Thomas Dewar,Minds are like parachutes. They only function when open.
238,George Patton,"If a man does his best, what else is there?"
239,Benjamin Disraeli,The secret of success is constancy to purpose.
240,Ralph Emerson,"Life is a progress, and not a station."
241,Horace Friess,All seasons are beautiful for the person who carries happiness within.
242,Elbert Hubbard,"To avoid criticism, do nothing, say nothing, be nothing."
243,Ovid,All things change; nothing perishes.
244,Haynes Bayly,Absence makes the heart grow fonder.
245,Lauren Bacall,Imagination is the highest kite one can fly.
246,Frank Herbert,The beginning of knowledge is the discovery of something we do not understand.
247,Elizabeth Browning,"Love doesn't make the world go round, love is what makes the ride worthwhile."
248,Arthur Conan Doyle,"Whenever you have eliminated the impossible, whatever remains, however improbable, must be the truth."
249,J. Willard Marriott,"Good timber does not grow with ease; the stronger the wind, the stronger the trees."
250,Dalai Lama,I believe that we are fundamentally the same and have the same basic potential.
251,Edward Gibbon,The winds and waves are always on the side of the ablest navigators.
252,Eleanor Roosevelt,The future belongs to those who believe in the beauty of their dreams.
253,Mahatma Gandhi,Strength does not come from physical capacity. It comes from an indomitable will.
254,Og Mandino,Each misfortune you encounter will carry in it the seed of tomorrows good luck.
255,Lewis B. Smedes,To forgive is to set a prisoner free and realize that prisoner was you.
256,Buddha,"In separateness lies the world's great misery, in compassion lies the world's true strength."
257,Nikos Kazantzakis,"By believing passionately in something that does not yet exist, we create it."
258,John Eliot,All the great performers I have worked with are fuelled by a personal dream.
259,A. A. Milne,One of the advantages of being disorderly is that one is constantly making exciting discoveries.
260,Marie Curie,I never see what has been done; I only see what remains to be done.
261,Seneca,Begin at once to live and count each separate day as a separate life.
262,Lawrence Peter,"If you don't know where you are going, you will probably end up somewhere else."
263,Hannah More,It is not so important to know everything as to appreciate what we learn.
264,John Berry,The bird of paradise alights only upon the hand that does not grasp.
265,William Yeats,Think as a wise man but communicate in the language of the people.
266,Epictetus,"Practice yourself, for heavens sake in little things, and then proceed to greater."
267,Seneca,"If one does not know to which port is sailing, no wind is favorable."
268,Ken S. Keyes,To be upset over what you don't have is to waste what you do have.
269,Thomas Edison,"If we did the things we are capable of, we would astound ourselves."
270,Marie Curie,Nothing in life is to be feared. It is only to be understood.
271,Tony Robbins,"Successful people ask better questions, and as a result, they get better answers."
272,Anne Schaef,Life is a process. We are a process. The universe is a process.
273,Eleanor Roosevelt,I think somehow we learn who we really are and then live with that decision.
274,Kenneth Patton,We learn what we have said from those who listen to our speaking.
275,Kahlil Gibran,A little knowledge that acts is worth infinitely more than much knowledge that is idle.
276,Flora Whittemore,The doors we open and close each day decide the lives we live.
277,H. W. Arnold,The worst bankrupt in the world is the person who has lost his enthusiasm.
278,Buddha,Happiness comes when your work and words are of benefit to yourself and others.
279,Wayne Dyer,"Everything is perfect in the universe, even your desire to improve it."
280,Eden Phillpotts,"The universe is full of magical things, patiently waiting for our wits to grow sharper."
281,Buddha,"Just as a candle cannot burn without fire, men cannot live without a spiritual life."
282,Mark Twain,A thing long expected takes the form of the unexpected when at last it comes.
283,Benjamin Disraeli,Action may not always bring happiness; but there is no happiness without action.
284,Oprah Winfrey,I don't believe in failure. It is not failure if you enjoyed the process.
285,Confucius,"What you do not want done to yourself, do not do to others."
286,Winston Churchill,Short words are best and the old words when short are best of all.
287,Buddha,"If you light a lamp for somebody, it will also brighten your path."
288,Lin-yutang,I have done my best: that is about all the philosophy of living one needs.
289,Benjamin Disraeli,Through perseverance many people win success out of what seemed destined to be certain failure.
290,Byron Pulsifer,Give thanks for the rain of life that propels us to reach new horizons.
291,Dave Weinbaum,The secret to a rich life is to have more beginnings than endings.
292,Ralph Waldo Emerson,It is only when the mind and character slumber that the dress can be seen.
293,Maya Angelou,"If you don't like something, change it. If you can't change it, change your attitude."
294,Confucius,"Reviewing what you have learned and learning anew, you are fit to be a teacher."
295,Augustinus Sanctus,"The world is a book, and those who do not travel read only a page."
296,Henri-Frederic Amiel,So long as a person is capable of self-renewal they are a living being.
297,Louisa Alcott,"I'm not afraid of storms, for Im learning how to sail my ship."
298,Voltaire,Think for yourselves and let others enjoy the privilege to do so too.
299,Annie Dillard,"How we spend our days is, of course, how we spend our lives."
300,Man Ray,"It has never been my object to record my dreams, just to realize them."
301,Sigmund Freud,The most complicated achievements of thought are possible without the assistance of consciousness.
302,Wayne Dyer,"Be miserable. Or motivate yourself. Whatever has to be done, it's always your choice."
303,Napoleon Hill,Most great people have attained their greatest success just one step beyond their greatest failure.
304,Henry Ford,"If you think you can, you can. And if you think you can't, you're right."
305,St. Augustine,"Better to have loved and lost, than to have never loved at all."
306,Leo Tolstoy,"Everyone thinks of changing the world, but no one thinks of changing himself."
307,Richard Bach,The best way to pay for a lovely moment is to enjoy it.
308,Winston Churchill,"You have enemies? Good. That means you've stood up for something, sometime in your life."
309,John De Paola,Slow down and everything you are chasing will come around and catch you.
310,Buddha,Your worst enemy cannot harm you as much as your own unguarded thoughts.
311,Lily Tomlin,"I always wanted to be somebody, but I should have been more specific."
312,John Lennon,"Yeah we all shine on, like the moon, and the stars, and the sun."
313,Martin Fischer,Knowledge is a process of piling up facts; wisdom lies in their simplification.
314,Albert Einstein,Life is like riding a bicycle. To keep your balance you must keep moving.
315,Albert Schweitzer,We should all be thankful for those people who rekindle the inner spirit.
316,Thomas Edison,Opportunity is missed by most because it is dressed in overalls and looks like work.
317,Albert Einstein,Feeling and longing are the motive forces behind all human endeavor and human creations.
318,Johann Wolfgang von Goethe,In the end we retain from our studies only that which we practically apply.
319,Lao Tzu,"If you correct your mind, the rest of your life will fall into place."
320,Ralph Emerson,The world makes way for the man who knows where he is going.
321,Napoleon Hill,When your desires are strong enough you will appear to possess superhuman powers to achieve.
322,John Adams,Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.
323,Henry David Thoreau,I cannot make my days longer so I strive to make them better.
324,Chinese proverb,Tension is who you think you should be. Relaxation is who you are.
325,Helen Keller,Never bend your head. Always hold it high. Look the world right in the eye.
326,Albert Schweitzer,One who gains strength by overcoming obstacles possesses the only strength which can overcome adversity.
327,Calvin Coolidge,"We cannot do everything at once, but we can do something at once."
328,Abraham Lincoln,You have to do your own growing no matter how tall your grandfather was.
329,General Douglas MacArthur,It is fatal to enter any war without the will to win it.
330,Julius Charles Hare,Be what you are. This is the first step toward becoming better than you are.
331,Buckminster Fuller,There is nothing in a caterpillar that tells you it's going to be a butterfly.
332,Dalai Lama,"Love and compassion open our own inner life, reducing stress, distrust and loneliness."
333,Walter Lippmann,Ideals are an imaginative understanding of that which is desirable in that which is possible.
334,Confucius,The superior man is satisfied and composed; the mean man is always full of distress.
335,Bruce Lee,"If you spend too much time thinking about a thing, you'll never get it done."
336,Buddha,The way is not in the sky. The way is in the heart.
337,Abraham Lincoln,Most people are about as happy as they make up their minds to be
338,Buddha,"Three things cannot be long hidden: the sun, the moon, and the truth."
339,Dalai Lama,"More often than not, anger is actually an indication of weakness rather than of strength."
340,Jim Beggs,"Before you put on a frown, make absolutely sure there are no smiles available."
341,Donald Kircher,A man of ability and the desire to accomplish something can do anything.
342,Buddha,"You, yourself, as much as anybody in the entire universe, deserve your love and affection."
343,Eckhart Tolle,It is not uncommon for people to spend their whole life waiting to start living.
344,H. Jackson Browne,Don't be afraid to go out on a limb. That's where the fruit is.
345,Marquis Vauvenargues,Wicked people are always surprised to find ability in those that are good.
346,Charlotte Bronte,"Life is so constructed that an event does not, cannot, will not, match the expectation."
347,Wayne Dyer,"If you change the way you look at things, the things you look at change."
348,Napoleon Hill,No man can succeed in a line of endeavor which he does not like.
349,Buddha,"You will not be punished for your anger, you will be punished by your anger."
350,Robert Stevenson,Don't judge each day by the harvest you reap but by the seeds you plant.
351,Andy Warhol,"They say that time changes things, but you actually have to change them yourself."
352,Benjamin Disraeli,"Never apologize for showing feelings. When you do so, you apologize for the truth."
353,Pema Chodron,The truth you believe and cling to makes you unavailable to hear anything new.
354,Horace,"Adversity has the effect of eliciting talents, which in prosperous circumstances would have lain dormant."
355,Morris West,"If you spend your whole life waiting for the storm, you'll never enjoy the sunshine."
356,Franklin Roosevelt,The only limit to our realization of tomorrow will be our doubts of today.
357,Edwin Chapin,Every action of our lives touches on some chord that will vibrate in eternity.
358,Les Brown,"Shoot for the moon. Even if you miss, you'll land among the stars."
359,Confucius,It does not matter how slowly you go as long as you do not stop.
360,Abraham Lincoln,Most folks are about as happy as they make up their minds to be.
361,Lao Tzu,"If you would take, you must first give, this is the beginning of intelligence."
362,Havelock Ellis,It is on our failures that we base a new and different and better success.
363,John Ruskin,Quality is never an accident; it is always the result of intelligent effort.
364,Confucius,To study and not think is a waste. To think and not study is dangerous.
365,Ralph Emerson,"Life is a succession of lessons, which must be lived to be understood."
366,Thomas Hardy,Time changes everything except something within us which is always surprised by change.
367,Wayne Dyer,You are important enough to ask and you are blessed enough to receive back.
368,Napoleon Hill,"If you cannot do great things, do small things in a great way."
369,Oprah Winfrey,"If you want your life to be more rewarding, you have to change the way you think."
370,Byron Pulsifer,"Transformation doesn't take place with a vacuum; instead, it occurs when we are indirectly and directly connected to all those around us."
371,Leonardo Ruiz,The only difference between your abilities and others is the ability to put yourself in their shoes and actually try.
372,Leon Blum,The free man is he who does not fear to go to the end of his thought.
373,Ralph Emerson,"Great are they who see that spiritual is stronger than any material force, that thoughts rule the world."
374,Bernard Shaw,A life spent making mistakes is not only more honourable but more useful than a life spent in doing nothing.
375,Lao Tzu,"The wise man does not lay up his own treasures. The more he gives to others, the more he has for his own."
376,Charles Dickens,"Don't leave a stone unturned. It's always something, to know you have done the most you could."
377,Dalai Lama,"By going beyond your own problems and taking care of others, you gain inner strength, self-confidence, courage, and a greater sense of calm."
378,Sam Keen,"We come to love not by finding a perfect person, but by learning to see an imperfect person perfectly."
379,Walt Emerson,What lies behind us and what lies before us are tiny matters compared to what lies within us.
380,John Astin,There are things so deep and complex that only intuition can reach it in our stage of development as human beings.
381,Elbert Hubbard,"A little more persistence, a little more effort, and what seemed hopeless failure may turn to glorious success."
382,Henry Moore,"There is no retirement for an artist, it's your way of living so there is no end to it."
383,Confucius,I will not be concerned at other men is not knowing me;I will be concerned at my own want of ability.
384,Laozi,"When you are content to be simply yourself and don't compare or compete, everybody will respect you."
385,William Shakespeare,"Be not afraid of greatness: some are born great, some achieve greatness, and some have greatness thrust upon them."
386,George Sheehan,"Success means having the courage, the determination, and the will to become the person you believe you were meant to be."
387,Thomas Jefferson,Do you want to know who you are? Don't ask. Act! Action will delineate and define you.
388,Antoine de Saint-Exupery,"It is only with the heart that one can see rightly, what is essential is invisible to the eye."
389,Marcel Proust,Let us be grateful to people who make us happy; they are the charming gardeners who make our souls blossom.
390,Epictetus,"Make the best use of what is in your power, and take the rest as it happens."
391,Louise Hay,The thoughts we choose to think are the tools we use to paint the canvas of our lives.
392,W. Clement Stone,No matter how carefully you plan your goals they will never be more that pipe dreams unless you pursue them with gusto.
393,Robert McKain,The reason most goals are not achieved is that we spend our time doing second things first.
394,John Quincy Adams,"If your actions inspire others to dream more, learn more, do more and become more, you are a leader."
395,Thomas Jefferson,"I'm a great believer in luck and I find the harder I work, the more I have of it."
396,Ralph Emerson,"Do not waste yourself in rejection, nor bark against the bad, but chant the beauty of the good."
397,Johann Wolfgang von Goethe,The person born with a talent they are meant to use will find their greatest happiness in using it.
398,William Saroyan,"Good people are good because they've come to wisdom through failure. We get very little wisdom from success, you know."
399,Byron Pulsifer,Your destiny isn't just fate; it is how you use your own developed abilities to get what you want.
400,Leonardo da Vinci,Iron rusts from disuse; water loses its purity from stagnation... even so does inaction sap the vigour of the mind.
401,Isaac Asimov,A subtle thought that is in error may yet give rise to fruitful inquiry that can establish truths of great value.
402,Henry Van Dyke,"Be glad of life because it gives you the chance to love, to work, to play, and to look up at the stars."
403,Yogi Berra,"You got to be careful if you don't know where you're going, because you might not get there."
404,Naguib Mahfouz,You can tell whether a man is clever by his answers. You can tell whether a man is wise by his questions.
405,Anthony Robbins,"Life is a gift, and it offers us the privilege, opportunity, and responsibility to give something back by becoming more"
406,John Wooden,You can't let praise or criticism get to you. It's a weakness to get caught up in either one.
407,Og Mandino,"I will love the light for it shows me the way, yet I will endure the darkness because it shows me the stars."
408,Jane Addams,"Our doubts are traitors and make us lose the good we often might win, by fearing to attempt."
409,Thomas Carlyle,By nature man hates change; seldom will he quit his old home till it has actually fallen around his ears.
410,M. Scott Peck,"Until you value yourself, you won't value your time. Until you value your time, you won't do anything with it."
411,Maureen Dowd,"The minute you settle for less than you deserve, you get even less than you settled for."
412,Charles Darwin,The highest stage in moral ure at which we can arrive is when we recognize that we ought to control our thoughts.
413,Dalai Lama,"If we have a positive mental attitude, then even when surrounded by hostility, we shall not lack inner peace."
414,Christopher Morley,"There is only one success, to be able to spend your life in your own way."
415,Hannah Arendt,"Promises are the uniquely human way of ordering the future, making it predictable and reliable to the extent that this is humanly possible."
416,Alan Cohen,"Appreciation is the highest form of prayer, for it acknowledges the presence of good wherever you shine the light of your thankful thoughts."
417,Aldous Huxley,"There is only one corner of the universe you can be certain of improving, and that's your own self."
418,Marian Edelman,You're not obligated to win. You're obligated to keep trying to do the best you can every day.
419,Byron Pulsifer,"Everyone can taste success when the going is easy, but few know how to taste victory when times get tough."
420,Sue Patton Thoele,"Deep listening is miraculous for both listener and speaker.When someone receives us with open-hearted, non-judging, intensely interested listening, our spirits expand."
421,Frank Crane,"You may be deceived if you trust too much, but you will live in torment if you don't trust enough."
422,Lao Tzu,"Great indeed is the sublimity of the Creative, to which all beings owe their beginning and which permeates all heaven."
423,Kathleen Norris,"All that is necessary is to accept the impossible, do without the indispensable, and bear the intolerable."
424,Confucius,"Choose a job you love, and you will never have to work a day in your life."
425,Eckhart Tolle,You cannot find yourself by going into the past. You can find yourself by coming into the present.
426,Anne Bronte,"All our talents increase in the using, and the every faculty, both good and bad, strengthen by exercise."
427,Richard Bach,In order to live free and happily you must sacrifice boredom. It is not always an easy sacrifice.
428,Desiderius Erasmus,The fox has many tricks. The hedgehog has but one. But that is the best of all.
429,Arthur Rubinstein,Of course there is no formula for success except perhaps an unconditional acceptance of life and what it brings.
430,Louis Pasteur,Let me tell you the secret that has led me to my goal: my strength lies solely in my tenacity
431,Rumi,Something opens our wings. Something makes boredom and hurt disappear. Someone fills the cup in front of us: We taste only sacredness.
432,Sogyal Rinpoche,"We must never forget that it is through our actions, words, and thoughts that we have a choice."
433,Dennis Kimbro,"We see things not as they are, but as we are. Our perception is shaped by our previous experiences."
434,William Penn,"True silence is the rest of the mind; it is to the spirit what sleep is to the body, nourishment and refreshment."
435,Immanuel Kant,"All our knowledge begins with the senses, proceeds then to the understanding, and ends with reason. There is nothing higher than reason."
436,Buddha,The thought manifests as the word. The word manifests as the deed. The deed develops into habit. And the habit hardens into character.
437,Byron Pulsifer,Patience is a virtue but you will never ever accomplish anything if you don't exercise action over patience.
438,Robert Lynd,"Any of us can achieve virtue, if by virtue we merely mean the avoidance of the vices that do not attract us."
439,Ralph Emerson,"If the single man plant himself indomitably on his instincts, and there abide, the huge world will come round to him."
440,Donald Trump,"Money was never a big motivation for me, except as a way to keep score. The real excitement is playing the game."
441,Eleanor Roosevelt,Friendship with oneself is all important because without it one cannot be friends with anybody else in the world.
442,Robert Fulghum,"Peace is not something you wish for. It's something you make, something you do, something you are, and something you give away."
443,Bruce Lee,A wise man can learn more from a foolish question than a fool can learn from a wise answer.
